SCHOOL NAME,Num of SAT Test Takers,Critical Reading Avg Score,Math Avg. Score,Writing Avg. Score
"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",80,411,464,415
"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",80,404,418,402
HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,79,418,441,414
UNIVERSITY HEIGHTS SECONDARY SCHOOL,79,403,394,404
"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",79,382,393,382
EMMA LAZARUS HIGH SCHOOL,79,319,512,357
HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,78,412,581,431
"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",78,400,426,394
BEACH CHANNEL HIGH SCHOOL,78,384,396,354
JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,78,377,359,376
EAGLE ACADEMY FOR YOUNG MEN,78,373,387,374
THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,77,405,423,384
COBBLE HILL SCHOOL OF AMERICAN STUDIES,77,398,402,385
PELHAM PREPARATORY ACADEMY,76,431,438,419
ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,76,394,400,364
BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,76,393,399,387
HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,76,365,384,378
"FACING HISTORY SCHOOL, THE",76,353,358,340
HIGH SCHOOL OF ARTS AND TECHNOLOGY,75,433,433,411
HIGH SCHOOL FOR MEDICAL PROFESSIONS,75,386,380,393
BUSHWICK SCHOOL FOR SOCIAL JUSTICE,75,348,353,334
CHANNEL VIEW SCHOOL FOR RESEARCH,74,432,419,401
HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,74,406,406,384
BRONX HEALTH SCIENCES HIGH SCHOOL,74,370,381,382
W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,74,370,369,363
VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,74,356,363,356
CENTRAL PARK EAST HIGH SCHOOL,73,405,421,395
NEW DESIGN HIGH SCHOOL,73,391,395,382
GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,73,362,382,356
HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,73,338,349,340
"BROOKLYN LATIN SCHOOL, THE",72,586,584,570
VANGUARD HIGH SCHOOL,72,395,416,388
ACORN COMMUNITY HIGH SCHOOL,72,384,364,368
