"SCHOOL_NAME","NUM_TAKERS","CR_AVG","MATH_AVG","WRITING_AVG"
"THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE",105,400,417,389
"THEATRE ARTS PRODUCTION COMPANY SCHOOL",59,405,391,394
"THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL",422,452,478,442
"THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE",66,396,402,404
"TOTTENVILLE HIGH SCHOOL",807,462,486,470
"TOWNSEND HARRIS HIGH SCHOOL",278,621,651,638
"TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL",182,395,418,380
"UNITY CENTER FOR URBAN TECHNOLOGIES",25,370,349,351
"UNIVERSITY HEIGHTS SECONDARY SCHOOL",79,403,394,404
"UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",91,383,423,366
"URBAN ACADEMY LABORATORY HIGH SCHOOL",30,527,508,512
"URBAN ACTION ACADEMY",40,376,385,374
"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",33,372,355,357
"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385
"URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART",52,360,364,356
"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",80,411,464,415
"URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS",44,387,411,383
"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",41,384,390,370
"URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS",56,360,353,364
"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,373,370,384
"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416
"VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL",74,356,363,356
"VANGUARD HIGH SCHOOL",72,395,416,388
"VICTORY COLLEGIATE HIGH SCHOOL",63,387,377,379
"W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL",74,370,369,363
"W.E.B. DUBOIS ACADEMIC HIGH SCHOOL",7,394,364,334
"WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS",32,371,368,370
"WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL",70,380,395,399
"WASHINGTON IRVING HIGH SCHOOL",151,373,387,360
"WEST BRONX ACADEMY FOR THE FUTURE",26,382,406,370
"WILLIAM CULLEN BRYANT HIGH SCHOOL",395,414,449,412
"WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL",95,394,414,376
"WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN",72,363,385,364
"WILLIAMSBURG PREPARATORY SCHOOL",113,397,410,380
"WINGS ACADEMY",66,378,374,362
"WOMEN'S ACADEMY OF EXCELLENCE",44,407,386,378
"WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL",68,371,365,370
"WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL",63,471,489,481
"YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS",10,405,375,370
"YOUNG WOMEN'S LEADERSHIP SCHOOL",70,432,446,448
"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",68,439,445,432
"47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL",16,395,400,387
"A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL",228,430,456,423
"ABRAHAM LINCOLN HIGH SCHOOL",475,396,437,393
"ACADEMY FOR CAREERS IN TELEVISION AND FILM",98,410,440,405
"ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL",59,396,374,369
"ACADEMY FOR CONSERVATION AND THE ENVIRONMENT",35,363,381,367
"ACADEMY FOR ENVIRONMENTAL LEADERSHIP",50,380,366,352
"ACADEMY FOR LANGUAGE AND TECHNOLOGY",54,315,339,297
"ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL",56,386,394,361
"ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL",33,354,366,342
"ACADEMY FOR YOUNG WRITERS",68,387,357,381
"ACADEMY OF AMERICAN STUDIES",135,487,492,491
